<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: SIS_P0_Audit_Queue.csv>index,sis_lit_id,study,source_status,primary_program_registry,cross_cutting_registry,capability_registry,primary_estimand_registry,claim_registry,id_transport_registry,evidence_role_registry,source_class,p0_qualification_status,audit_priority,final_claim_level,final_primary_program,transport_final
16,SIS-LIT-017,Recuris: Recursive Experiential-Working Memory Evolution for Long-Horizon Agent Harnesses,2026 preprint,P2/SDR,ASR,TD; EG; DR,LONG_HORIZON_EFFECT,CL1,`I1` / `T0`,Memory/recovery mechanism — Working/skill memory and validation-gated updates; implementation evidence.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
17,SIS-LIT-018,AgentGrad: Intervention-guided Prompt Optimization for Multi Agent Systems,arXiv:2609.08572 (preprint),ASR,P2/SDR,MI; ID; DR,INTERVENTION_LOCUS_SELECTION_EFFECT,CL2,`I2` / `T1`,Causal attribution→repair evidence — Important intervention-based locus verification; strong SIS fixture.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,CL2_CONFIRMED_2026-09-24,ASR,T1_PERFORMANCE_REPLICATION
18,SIS-LIT-019,Procedural Graphs: Self-Evolving Execution Structures for LLM Agents,arXiv:2609.09153 (preprint),SCF,ASR,MI; TD,ORGANIZATION_EFFECT,CL1,`I1` / `T1`,Representation mechanism — Procedural execution structures as reusable system mechanism.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
19,SIS-LIT-020,Co-Evolving Harnesses and Models: On-Policy Correction Helps Weaker Models Catch Up Where Imitation Fails,arXiv:2609.09134 (preprint),SCF,CSCI,MI; BT,MECHANISM_INTERACTION_EFFECT,CL1,`I1` / `T2`,Boundary/interaction evidence — Harness–executor compatibility and co-adaptation; strong CSCI motivation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
20,SIS-LIT-021,SE-GoS: Self-Evolving Graph-of-Skills for Skill Library at Scale,arXiv:2609.08228 (preprint),ASR,SCF,DR; IA,ACTION_SELECTION_EFFECT,CL1,`I1` / `T1`,Regulation mechanism — Skill-graph routing/topology optimization.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
21,SIS-LIT-022,MemForest: Efficient Agent Memory Management via EventTree Partitioning and Progressive Merging,arXiv:2609.08273 (preprint),SCF,P2/SDR,MI; TD,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T0`,Representation mechanism — Memory compaction/structure mechanism; not a new SIS primitive.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
22,SIS-LIT-023,Does Your Agent's Memory Survive a Model Upgrade? A Controlled Study of Memory Portability,arXiv:2609.05339 (preprint),SCF,CSCI; BGT,BT; MI,MECHANISM_INTERACTION_EFFECT,CL1→CL2 candidate,`I1` / `T2`,"Boundary evidence — Structured memory more portable than free-text notes; performance transfer, not causal transport.",PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
23,SIS-LIT-024,"MA-Evolve / At Equal Inference Cost, Multi-Agent Structure Does Not Beat a Single Frozen Agent",arXiv:2609.04217 (preprint),SCF,CSCI,IA; MEAS,ORGANIZATION_EFFECT,CL2 candidate,`I2` / `T1`,Negative evidence — Iso-compute result challenges complexity/multi-agent superiority assumptions.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
24,SIS-LIT-025,ARISE-RL: Agentic Rubric-Grounded Iterative Self-Evolution with Reinforcement Learning,arXiv:2609.01058 (preprint),ASR,—,DR; EG,POLICY_VALUE,CL1,`I1` / `T0`,Regulation framework — Rubric/task generation and reward-gated updates; evaluator co-adaptation risk.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
25,SIS-LIT-026,"ExecCritic: Learn to Test, Test to Improve for Coding Agents",arXiv:2609.09133 (preprint),P2/SDR,ASR,EG; ID; MI,RECOVERY_EFFECT,CL2 candidate,`I2` / `T0`,Negative + recovery evidence — Poor tests can be worse than no tests; supports independent evaluator authority.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
26,SIS-LIT-027,EDGE: Error Dependency Graph-Guided Multi-Error Attribution in Multi-Agent LLM Systems,EMNLP 2026 / arXiv:2609.01360,P2/SDR,—,TD; ID; IA,PROPAGATION_EFFECT,CL2 candidate,`I2` / `T0`,Dynamic attribution — Error dependency + counterfactual rollout; strong P2 fixture.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
27,SIS-LIT-028,MASkills: Continual Skills Optimization for Multi-Agent LLM Systems,arXiv:2609.02094 (preprint),SCF,ASR,MI; DR,CAUSAL_MECHANISM_EFFECT,CL1,`I1` / `T1`,Mechanism support — Experience→skill consolidation/pruning; mechanism promotion implementation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
28,SIS-LIT-029,How Fast Do Agents Rot? An Empirical Study of Long-Horizon Degradation in LLM Agents,arXiv:2609.01660 (preprint),P2/SDR,BGT,TD; MEAS; BT,LONG_HORIZON_EFFECT,CL1,`I1` / `T1`,Dynamics/boundary evidence — Horizon-dependent reliability decay; supports trajectory-first evaluation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
29,SIS-LIT-030,What LLM Trading Agents Actually Do in Production,arXiv:2609.05663 (preprint),SCF,CSCI,MEAS; IA,ORGANIZATION_EFFECT,CL1,`I0/I1` / `T0`,Real-world associational evidence — Operating-layer effects motivate system ≠ model; causal claims remain limited.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
30,SIS-LIT-031,Artic: Natural-Language Workflows Are Not Software Yet,arXiv:2608.21341 (preprint),SCF,—,MI,CAUSAL_MECHANISM_EFFECT,CL1→CL2 candidate,`I1` / `T0`,Representation mechanism — Typed artifact workflow externalization; useful SCF manipulation.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
31,SIS-LIT-032,Ecdysis: Efficient and Effective Training of Runtime Harnesses for LLM Agents,2026 preprint,P2/SDR,ASR,TD; ID; DR,RECOVERY_EFFECT,CL1→CL2 candidate,`I1/I2` / `T1`,Failure generality mechanism — Distinguishes local model errors from systematic harness defects.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
32,SIS-LIT-033,COBRA-Skills: Contextual Bandit-Guided Evolution for Agent Skill Optimization,2026 preprint,ASR,—,DR,VALUE_OF_INFORMATION,CL1,`I1` / `T1`,Budget regulation — Allocates evaluation budget among candidate skills.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
33,SIS-LIT-034,Grounding Agent Memory: Environment-Probing Curation for Enterprise Agents,2026 preprint,ASR,SCF,EG; DR; ID,VALUE_OF_INFORMATION,CL1→CL2 candidate,`I1/I2` / `T0`,Evidence-governance mechanism — Probe before memory promotion; strong evidence-governance example.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
34,SIS-LIT-035,Decoupling Readiness from Release for Tail-Aware Scheduling of Agentic LLM Workflows,2026 preprint,ASR,—,DR,ACTION_SELECTION_EFFECT,CL1,`I1` / `T0`,Regulation mechanism — Readiness vs release as scheduling policy state.,PREPRINT,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
35,SIS-LIT-036,JTPRO: A Joint Tool–Prompt Reflective Optimization Framework for Language Agents,Findings ACL 2026,SCF,—,MI,MECHANISM_INTERACTION_EFFECT,CL1,`I1` / `T1`,Mechanism interaction — Joint prompt/tool-schema optimization; interface is part of system.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
36,SIS-LIT-037,PROTEA: Offline Evaluation and Iterative Refinement for Multi-Agent LLM Workflows,ACL 2026 Demo,P2/SDR,ASR,TD; ID; MI,RECOVERY_EFFECT,CL1,`I1` / `T0`,Diagnosis→repair instrument — Intermediate localization and targeted patching.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
37,SIS-LIT-038,Do We Always Need Query-Level Workflows? Rethinking Agentic Workflow Generation for Multi-Agent Systems / SCALE,Findings ACL 2026,ASR,SCF,DR; MI,SELECTIVE_ACTION_UTILITY,CL1,`I1` / `T1`,Granularity/boundary evidence — Shared/coarse workflows can retain quality at lower cost.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
38,SIS-LIT-039,Accelerating Language Model Workflows with Prompt Choreography,TACL 2026,SCF,—,MI; MEAS,CAPABILITY_FRONTIER_SHIFT,CL1,`I1` / `T0`,Runtime mechanism — Context/cache/runtime scheduling shifts performance–cost frontier.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
39,SIS-LIT-040,Agent-GWO: Collaborative Agents for Dynamic Prompt Optimization in Large Language Models,Findings ACL 2026,ASR,—,DR,POLICY_VALUE,CL1,`I1` / `T0`,Optimization regime — Population search over prompt/configuration; needs iso-compute interpretation.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
40,SIS-LIT-041,Reflective RAG: Self-Evaluation Driven Strategy Optimization in Agentic Retrieval-Augmented Generation,Findings ACL 2026,ASR,—,DR,ACTION_SELECTION_EFFECT,CL1,`I1` / `T0`,"Regulation mechanism — Reflection tags guide strategy; reflection is signal, not authority.",PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
41,SIS-LIT-042,HFlow: Evolving Agentic Workflow Driven by Human-Agent Collaboration,Findings ACL 2026,SCF,ASR,MI; DR; IA,MECHANISM_INTERACTION_EFFECT,CL1,`I1` / `T1`,Joint optimization — Workflow/prompts/backbones co-evolve; attribution of contribution remains open.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
42,SIS-LIT-043,Learning from Contrastive Prompts: An Automated Prompt Optimization Framework,Findings ACL 2026,ASR,—,DR,ACTION_SELECTION_EFFECT,CL1,`I1` / `T0`,Evidence-use mechanism — Contrastive success/failure evidence informs edits.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
43,SIS-LIT-044,Failure Makes the Agent Stronger: Enhancing Accuracy through Structured Reflection for Reliable Tool Interactions,Findings ACL 2026,P2/SDR,ASR,TD; MI,RECOVERY_EFFECT,CL1,`I1` / `T0`,Recovery mechanism — Structured erroneous-call diagnosis→corrected-call recovery.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
44,SIS-LIT-045,Prompt Optimization Is a Coin Flip: Diagnosing When It Helps in Compound AI Systems,2026 paper/preprint,ASR,CSCI,DR; MEAS,SELECTIVE_ACTION_UTILITY,CL1→CL2 candidate,`I1/I2` / `T1`,Negative/boundary evidence — Headroom/coupling tests motivate optimization eligibility and NoOp.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
45,SIS-LIT-046,"Why Prompt Optimization Works, and Why It Sometimes Doesn't: A Causal-Inspired Edit-Level Analysis",2026 paper/preprint,SCF,ASR; BGT,MI; ID,CAUSAL_MECHANISM_EFFECT,CL1→CL2 candidate,`I1/I2` / `T1`,Mechanism/boundary evidence — Edit family × task type heterogeneity; operator effects are conditional.,PREPRINT,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
46,SIS-LIT-047,Agentic Harness Engineering: The Operating System for Machine Intelligence,Technical/community analysis,SCF,—,—,—,CL0,`I0` / `T0`,Technical synthesis — Engineering ontology/discovery only; not scientific evidence.,TECHNICAL_ANALYSIS,DISCOVERY_ONLY,C_DESCRIPTIVE_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
47,SIS-LIT-048,Verified Critical Step Optimization for LLM Agents,Findings ACL 2026,P2/SDR,ASR,ID; TD; MI,RECOVERY_EFFECT,CL2,`I2` / `T1`,Counterfactual verification — Outcome-flip + target-policy reachability; strong causal repair fixture.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
48,SIS-LIT-049,Attribution-Based Analysis and Optimization of Modular Agentic Workflows / ShapleyFlow,Findings ACL 2026,SCF,—,IA; ID,MECHANISM_INTERACTION_EFFECT,CL2 candidate,`I2` / `T1`,Contribution attribution — Marginal component value differs from failure causation.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,A2_CAUSAL_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
49,SIS-LIT-050,Seeing the Whole Elephant: A Benchmark for Failure Attribution in LLM-based Multi-Agent Systems / TraceElephant,ACL 2026 Long,P2/SDR,—,MEAS; ID,TRAJECTORY_EFFECT,CL1→CL2 candidate,`I1/I2` / `T0`,Observability evidence — Full vs partial trace changes attribution quality; supports observability experiments.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,A3_CAUSAL_PROMOTION_REAUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
50,SIS-LIT-051,Reflection in the Dark: Exposing and Escaping the Black Box in Reflective Prompt Optimization / VISTA,ACL 2026 SRW,ASR,P2/SDR,DR; ID,POLICY_VALUE,CL1,`I1` / `T0`,Negative/boundary evidence — Defective-seed reflection can degrade; verify hypotheses before rewrite.,PEER_REVIEWED,PRIMARY_PENDING_VERIFICATION,B_ASSOCIATIONAL_CONFIRMATION,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT,PENDING_CLAIM_LEVEL_AUDIT
